"Location","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Hubei",67800,3153,59879,4768,63032
"China",13640,121,12936,583,13057
"World",254758,11395,25248,218115,36643
"Diamond Princess",712,8,325,379,333
