"States","Country","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Others","Liechtenstein",82,1,81,1
"Others","Lithuania",1733,74,1659,74
"Others","Luxembourg",4049,110,3939,110
"Others","Madagascar",1162,10,1152,10
"Others","Malawi",455,4,451,4
"Others","Malaysia",8338,118,8220,118
"Others","Maldives",1962,8,1954,8
"Others","Mali",1667,96,1571,96
"Others","Malta",635,9,626,9
"Others","Mauritania",1283,71,1212,71
"Others","Mauritius",337,10,327,10
"Others","Mexico",129184,15357,113827,15357
"Others","Moldova",10321,371,9950,371
"Others","Monaco",99,4,95,4
"Others","Mongolia",194,0,194,0
"Others","Montenegro",324,9,315,9
"Others","Morocco",8508,211,8297,211
"Others","Mozambique",472,2,470,2
"Others","MS Zaandam",9,2,7,2
"Others","Myanmar",248,6,242,6
"Others","Namibia",31,0,31,0
"Others","Nepal",4364,15,4349,15
"Aruba","Netherlands",101,3,98,3
"Curacao","Netherlands",22,1,21,1
"Sint Maarten","Netherlands",77,15,62,15
"Others","Netherlands",48087,6042,42045,6042
"Bonaire, Sint Eustatius and Saba","Netherlands",7,0,7,0
"Others","New Zealand",1504,22,1482,22
"Others","Nicaragua",1464,55,1409,55
"Others","Niger",974,65,909,65
"Others","Niger",13873,382,13491,382
"Others","Nigeria",13873,382,13491,382
"Others","North Macedonia",3364,164,3200,164
"Others","Norway",8594,239,8355,239
"Others","Oman",18887,84,18803,84
"Others","Pakistan",113702,2255,111447,2255
"Others","Panama",17889,413,17476,413
"Others","Papua New Guinea",8,0,8,0
"Others","Paraguay",1202,11,1191,11
"Others","Peru",208823,5903,202920,5903
"Others","Philippines",23732,1027,22705,1027
"Others","Poland",27842,1206,26636,1206
"Others","Portugal",35600,1497,34103,1497
"Others","Qatar",73595,66,73529,66
"Others","Romania",20945,1360,19585,1360
"Others","Russia",493023,6350,486673,6350
"Others","Rwanda",476,2,474,2
"Others","Saint Kitts and Nevis",15,0,15,0
"Others","Saint Lucia",19,0,19,0
"Others","Saint Vincent and the Grenadines",27,0,27,0
"Others","San Marino",691,42,649,42
"Others","Sao Tome and Principe",611,12,599,12
"Others","Saudi Arabia",112288,819,111469,819
"Others","Senegal",4640,52,4588,52
"Others","Serbia",12031,251,11780,251
"Others","Seychelles",11,0,11,0
"Others","Sierra Leone",1062,50,1012,50
"Others","Singapore",38965,25,38940,25
"Others","Slovakia",1533,28,1505,28
"Others","Slovenia",1488,109,1379,109
"Others","Somalia",2452,85,2367,85
"Others","South Africa",55421,1210,54211,1210
"Others","South Korea",11947,276,11671,276
"Others","South Sudan",1604,19,1585,19
"Others","Spain",242280,28752,213528,28752
"Others","Sri Lanka",1869,11,1858,11
"Others","Sudan",1604,19,1585,19
"Others","Sudan",6582,401,6181,401
"Others","Suriname",144,2,142,2
"Others","Sweden",46814,4795,42019,4795
"Others","Switzerland",31011,1936,29075,1936
"Others","Syria",152,6,146,6
"Others","Taiwan",443,7,436,7
"Others","Tajikistan",4763,48,4715,48
"Others","Tanzania",509,21,488,21
"Others","Thailand",3125,58,3067,58
"Others","Timor-Leste",24,0,24,0
"Others","Togo",522,13,509,13
"Others","Trinidad and Tobago",117,8,109,8
"Others","Tunisia",1087,49,1038,49
"Others","Turkey",173036,4746,168290,4746
"Others","Uganda",665,0,665,0
"Others","Ukraine",29015,841,28174,841
"Others","United Arab Emirates",40507,284,40223,284
"Bermuda","United Kingdom",141,9,132,9
"Cayman Islands","United Kingdom",180,1,179,1
"Channel Islands","United Kingdom",565,48,517,48
"Gibraltar","United Kingdom",176,0,176,0
"Isle of Man","United Kingdom",336,24,312,24
"Montserrat","United Kingdom",11,1,10,1
"Others","United Kingdom",290143,41128,249015,41128
"Anguilla","United Kingdom",3,0,3,0
"British Virgin Islands","United Kingdom",8,1,7,1
"Turks and Caicos Islands","United Kingdom",12,1,11,1
"Falkland Islands (Malvinas)","United Kingdom",13,0,13,0
"Others","United States",2000464,112924,1887540,112924
"Others","Uruguay",847,23,824,23
"Others","Uzbekistan",4623,19,4604,19
"Others","Venezuela",2738,23,2715,23
"Others","Vietnam",332,0,332,0
"Others","West Bank and Gaza",485,3,482,3
"Others","Western Sahara",9,1,8,1
"Others","Yemen",560,129,431,129
"Others","Zambia",1200,10,1190,10
"Others","Zimbabwe",320,4,316,4
