"Location","Day","Date","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Hubei","31","21-02-2020",62662,2144,11881,48637,14025
"China","31","21-02-2020",12888,94,6823,5971,6917
"World","31","21-02-2020",13527,11,185,13331,196
"Diamond Princess","31","21-02-2020",634,2,1,631,3
"Hubei","32","22-02-2020",64084,2346,15299,46439,17645
"China","32","22-02-2020",12917,97,7400,5420,7497
"World","32","22-02-2020",13861,13,186,13662,199
"Diamond Princess","32","22-02-2020",634,2,1,631,3
"Hubei","33","23-02-2020",64084,2346,15343,46395,17689
"China","33","23-02-2020",12938,99,7844,4995,7943
"World","33","23-02-2020",14190,21,207,13962,228
"Diamond Princess","33","23-02-2020",691,3,0,688,3
"Hubei","34","24-02-2020",64287,2495,16748,45044,19243
"China","34","24-02-2020",12954,100,8267,4587,8367
"World","34","24-02-2020",14590,31,212,14347,243
"Diamond Princess","34","24-02-2020",691,3,0,688,3
"Hubei","35","25-02-2020",64786,2563,18971,43252,21534
"China","35","25-02-2020",12968,102,8705,4161,8807
"World","35","25-02-2020",14936,40,229,14667,269
"Diamond Princess","35","25-02-2020",691,3,0,688,3
"Hubei","36","26-02-2020",65187,2615,20969,41603,23584
"China","36","26-02-2020",12979,102,9115,3762,9217
"World","36","26-02-2020",15503,49,290,15164,339
"Diamond Princess","36","26-02-2020",705,4,10,691,14
"Hubei","37","27-02-2020",65596,2641,23383,39572,26024
"China","37","27-02-2020",13004,105,9547,3352,9652
"World","37","27-02-2020",16453,64,337,16052,401
"Diamond Princess","37","27-02-2020",705,4,10,691,14
"Hubei","38","28-02-2020",65914,2682,26403,36829,29085
"China","38","28-02-2020",13014,108,9926,2980,10034
"World","38","28-02-2020",17501,76,372,17053,448
"Diamond Princess","38","28-02-2020",705,6,10,689,16
"Hubei","39","29-02-2020",66337,2727,28993,34617,31720
"China","39","29-02-2020",13019,110,10327,2582,10437
"World","39","29-02-2020",18969,98,452,18419,550
"Diamond Princess","39","29-02-2020",705,6,10,689,16
"Hubei","40","01-03-2020",66907,2761,31536,32610,34297
"China","40","01-03-2020",13025,111,10626,2288,10737
"World","40","01-03-2020",20757,118,544,20095,662
"Diamond Princess","40","01-03-2020",705,6,10,689,16
"Hubei","41","02-03-2020",67103,2803,33934,30366,36737
"China","41","02-03-2020",13033,111,10920,2002,11031
"World","41","02-03-2020",22498,165,738,21595,903
"Diamond Princess","41","02-03-2020",705,6,10,689,16
"Hubei","42","03-03-2020",67217,2835,36208,28174,39043
"China","42","03-03-2020",13044,112,11242,1690,11354
"World","42","03-03-2020",24917,207,768,23942,975
"Diamond Princess","42","03-03-2020",706,6,10,690,16
"Hubei","43","04-03-2020",67332,2871,38557,25904,41428
"China","43","04-03-2020",13054,112,11444,1498,11556
"World","43","04-03-2020",27082,265,1159,25658,1424
"Diamond Princess","43","04-03-2020",706,6,10,690,16
"Hubei","44","05-03-2020",67466,2902,40592,23972,43494
"China","44","05-03-2020",13071,113,11700,1258,11813
"World","44","05-03-2020",29710,327,1494,27889,1821
"Diamond Princess","44","05-03-2020",706,6,10,690,16
"Hubei","45","06-03-2020",67592,2931,42033,22628,44964
"China","45","06-03-2020",13098,113,11911,1074,12024
"World","45","06-03-2020",33496,410,1881,31205,2291
"Diamond Princess","45","06-03-2020",696,6,40,650,46
"Hubei","46","07-03-2020",67666,2959,43500,21207,46459
"China","46","07-03-2020",13104,113,12039,952,12152
"World","46","07-03-2020",37459,480,2779,34200,3259
"Diamond Princess","46","07-03-2020",696,6,40,650,46
"Hubei","47","08-03-2020",67707,2986,45235,19486,48221
"China","47","08-03-2020",13116,114,12153,849,12267
"World","47","08-03-2020",41392,696,3266,37430,3962
"Diamond Princess","47","08-03-2020",696,6,40,650,46
"Hubei","48","09-03-2020",67743,3008,46488,18247,49496
"China","48","09-03-2020",13117,115,12316,686,12431
"World","48","09-03-2020",45122,859,3650,40613,4509
"Diamond Princess","48","09-03-2020",696,6,40,650,46
"Hubei","49","10-03-2020",67760,3024,47743,16993,50767
"China","49","10-03-2020",13127,115,12438,574,12553
"World","49","10-03-2020",50136,1117,4183,44836,5300
