"Location","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Hubei",67773,3046,49134,15593,52180
"China",13148,115,12510,523,12625
"World",45361,1479,5045,38837,6524
"Diamond Princess",706,7,325,374,332
